Time;Value
Mar-89;51.7
Jun-89;53.0
Sep-89;54.2
Dec-89;55.2
Mar-90;56.2
Jun-90;57.1
Sep-90;57.5
Dec-90;59.0
Mar-91;58.9
Jun-91;59.0
Sep-91;59.3
Dec-91;59.9
Mar-92;59.9
Jun-92;59.7
Sep-92;59.8
Dec-92;60.1
Mar-93;60.6
Jun-93;60.8
Sep-93;61.1
Dec-93;61.2
Mar-94;61.5
Jun-94;61.9
Sep-94;62.3
Dec-94;62.8
Mar-95;63.8
Jun-95;64.7
Sep-95;65.5
Dec-95;66.0
Mar-96;66.2
Jun-96;66.7
Sep-96;66.9
Dec-96;67.0
Mar-97;67.0
Jun-97;66.9
Sep-97;66.6
Dec-97;66.8
Mar-98;67.0
Jun-98;67.4
Sep-98;67.5
Dec-98;67.8
Mar-99;67.8
Jun-99;68.1
Sep-99;68.7
Dec-99;69.1
Mar-00;69.7
Jun-00;70.2
Sep-00;72.9
Dec-00;73.1
Mar-01;73.9
Jun-01;74.5
Sep-01;74.7
Dec-01;75.4
Mar-02;76.1
Jun-02;76.6
Sep-02;77.1
Dec-02;77.6
Mar-03;78.6
Jun-03;78.6
Sep-03;79.1
Dec-03;79.5
Mar-04;80.2
Jun-04;80.6
Sep-04;80.9
Dec-04;81.5
Mar-05;82.1
Jun-05;82.6
Sep-05;83.4
Dec-05;83.8
Mar-06;84.5
Jun-06;85.9
Sep-06;86.7
Dec-06;86.6
Mar-07;86.6
Jun-07;87.7
Sep-07;88.3
Dec-07;89.1
Mar-08;90.3
Jun-08;91.6
Sep-08;92.7
Dec-08;92.4
Mar-09;92.5
Jun-09;92.9
Sep-09;93.8
Dec-09;94.3
Mar-10;95.2
Jun-10;95.8
Sep-10;96.5
Dec-10;96.9
Mar-11;98.3
Jun-11;99.2
Sep-11;99.8
Dec-11;99.8
Mar-12;99.9
Jun-12;100.4
Sep-12;101.8
Dec-12;102.0
Mar-13;102.4
Jun-13;102.8
Sep-13;104.0
Dec-13;104.8
Mar-14;105.4
Jun-14;105.9
Sep-14;106.4
Dec-14;106.6
Mar-15;106.8
Jun-15;107.5
Sep-15;108.0
Dec-15;108.4
Mar-16;108.2
Jun-16;108.6
Sep-16;109.4
Dec-16;110.0
Mar-17;110.5
Jun-17;110.7
Sep-17;111.4
Dec-17;112.1
Mar-18;112.6
Jun-18;113.0
Sep-18;113.5
Dec-18;114.1
Mar-19;114.1
Jun-19;114.8
Sep-19;115.4
Dec-19;116.2
Mar-20;116.6
Jun-20;114.4
Sep-20;116.2
Dec-20;117.2
Mar-21;117.9
Jun-21;118.8
Sep-21;119.7
Dec-21;121.3
Mar-22;123.9
Jun-22;126.1
Sep-22;128.4
Dec-22;130.8
