Time,Value
1990,0.780686
1991,0.778719
1992,0.735213
1993,0.679935
1994,0.731612
1995,0.740727
1996,0.782833
1997,0.743682
1998,0.629118
1999,0.645484
2000,0.581223
2001,0.517943
2002,0.543050
2003,0.654801
2004,0.736399
2005,0.762474
2006,0.753457
2007,0.838635
2008,0.853159
2009,0.792116
2010,0.919691
2011,1.033853
2012,1.035937
2013,0.967915
2014,0.902813
2015,0.752124
2016,0.743664
2017,0.766830
2018,0.747466
2019,0.695358
2020,0.691143
2021,0.751259
2022,0.694662
