Time;Value
1990;412583360191
1991;433189153958
1992;448926795802
1993;467646808509
1994;489218085332
1995;521574741998
1996;551467281121
1997;580235904581
1998;605757428160
1999;636126735676
2000;685230826646
2001;729616220920
2002;775392814764
2003;824489951448
2004;881532206095
2005;950930486380
2006;1030102923760
2007;1110686658309
2008;1220515242576
2009;1258113804034
2010;1366988019278
2011;1479035217963
2012;1517884924067
2013;1585159819619
2014;1635078902310
2015;1667467873437
2016;1727309748959
2017;1831364258061
2018;1916555983559
2019;2019472212036
2020;2063555042214
2021;2129172532575
2022;2197819861000
