Time;Value
1990;799437000000
1991;788790000000
1992;812307000000
1993;845564000000
1994;885627000000
1995;912887000000
1996;949831000000
1997;989411000000
1998;1038744000000
1999;1082447000000
2000;1118287000000
2001;1148434000000
2002;1194393000000
2003;1228953000000
2004;1277686000000
2005;1316823000000
2006;1353137000000
2007;1413073000000
2008;1448976000000
2009;1476356000000
2010;1512470000000
2011;1553794000000
2012;1614863000000
2013;1648779000000
2014;1690826000000
2015;1729578000000
2016;1777285000000
2017;1821677000000
2018;1872220000000
2019;1906185000000
2020;1833242211490
2021;1892627187227
2022;1950513626421
