Time,Value
1990,5.08473758638365
1991,7.31112813806664
1992,8.27730469921851
1993,8.62133791663196
1994,7.63829168792093
1995,6.63774824140923
1996,6.61306677701548
1997,6.56406210077874
1998,6.10071302358166
1999,5.45810109010976
2000,5.04582499774412
2001,5.30364323141360
2002,5.03990629380731
2003,4.71317850747093
2004,4.14044771815049
2005,3.86288000288404
2006,3.69198357336788
2007,3.38711448408909
2008,3.36499911291786
2009,4.53509963337687
2010,4.04376761329396
2011,3.93680840005613
2012,4.05300661073404
2013,4.55581390300912
2014,4.84138065692888
2015,4.87095189811192
2016,4.50140317708438
2017,4.41340457979398
2018,4.12407607662050
2019,4.00613503848579
2020,5.17719573856462
2021,4.08958337390352
2022,2.92773234719021
